id,shop_floor,name,task_order
29,4,Photograph Macro (10 Mins Setup Time),11381
15,3,Takt 1 Assembly,186
15,3,Takt 1 Assembly,187
15,3,Takt 1 Assembly,188
15,3,Takt 1 Assembly,189
15,3,Takt 1 Assembly,190
15,3,Takt 1 Assembly,191
15,3,Takt 1 Assembly,192
15,3,Takt 1 Assembly,193
15,3,Takt 1 Assembly,194
15,3,Takt 1 Assembly,195
3,1,Takt 2 Assembly,11125
3,1,Takt 2 Assembly,11126
3,1,Takt 2 Assembly,24
3,1,Takt 2 Assembly,25
3,1,Takt 2 Assembly,26
3,1,Takt 2 Assembly,27
3,1,Takt 2 Assembly,10936
3,1,Takt 2 Assembly,10962
3,1,Takt 2 Assembly,10963
3,1,Takt 2 Assembly,28
3,1,Takt 2 Assembly,29
3,1,Takt 2 Assembly,30
3,1,Takt 2 Assembly,31
3,1,Takt 2 Assembly,10939
18,3,Takt 4 Assembly,218
18,3,Takt 4 Assembly,219
18,3,Takt 4 Assembly,220
18,3,Takt 4 Assembly,221
18,3,Takt 4 Assembly,222
18,3,Takt 4 Assembly,223
18,3,Takt 4 Assembly,224
18,3,Takt 4 Assembly,225
18,3,Takt 4 Assembly,226
18,3,Takt 4 Assembly,227
18,3,Takt 4 Assembly,228
18,3,Takt 4 Assembly,229
402,6,Plasma Clean,3256
19,3,Takt 5 Assembly,230
19,3,Takt 5 Assembly,231
19,3,Takt 5 Assembly,232
19,3,Takt 5 Assembly,233
19,3,Takt 5 Assembly,234
19,3,Takt 5 Assembly,235
19,3,Takt 5 Assembly,236
19,3,Takt 5 Assembly,237
19,3,Takt 5 Assembly,238
19,3,Takt 5 Assembly,239
19,3,Takt 5 Assembly,240
19,3,Takt 5 Assembly,241
19,3,Takt 5 Assembly,242
19,3,Takt 5 Assembly,243
19,3,Takt 5 Assembly,244
19,3,Takt 5 Assembly,245
19,3,Takt 5 Assembly,246
19,3,Takt 5 Assembly,247
19,3,Takt 5 Assembly,248
19,3,Takt 5 Assembly,249
19,3,Takt 5 Assembly,250
19,3,Takt 5 Assembly,251
707,2,Aperture Inspection 2,11187
707,2,Aperture Inspection 2,11277
707,2,Aperture Inspection 2,11283
707,2,Aperture Inspection 2,11284
707,2,Aperture Inspection 2,11252
707,2,Aperture Inspection 2,11285
707,2,Aperture Inspection 2,11156
707,2,Aperture Inspection 2,11286
707,2,Aperture Inspection 2,11160
707,2,Aperture Inspection 2,11287
707,2,Aperture Inspection 2,11288
707,2,Aperture Inspection 2,11159
707,2,Aperture Inspection 2,11161
707,2,Aperture Inspection 2,11289
707,2,Aperture Inspection 2,11290
707,2,Aperture Inspection 2,11308
707,2,Aperture Inspection 2,11262
707,2,Aperture Inspection 2,11162
707,2,Aperture Inspection 2,11317
707,2,Aperture Inspection 2,11318
707,2,Aperture Inspection 2,11319
707,2,Aperture Inspection 2,11163
707,2,Aperture Inspection 2,11326
707,2,Aperture Inspection 2,11327
707,2,Aperture Inspection 2,11328
707,2,Aperture Inspection 2,11164
707,2,Aperture Inspection 2,11329
707,2,Aperture Inspection 2,11330
707,2,Aperture Inspection 2,11331
707,2,Aperture Inspection 2,11165
707,2,Aperture Inspection 2,11166
707,2,Aperture Inspection 2,11167
707,2,Aperture Inspection 2,11168
707,2,Aperture Inspection 2,11169
707,2,Aperture Inspection 2,11332
707,2,Aperture Inspection 2,11333
707,2,Aperture Inspection 2,11334
707,2,Aperture Inspection 2,11170
707,2,Aperture Inspection 2,11171
707,2,Aperture Inspection 2,11172
707,2,Aperture Inspection 2,11173
707,2,Aperture Inspection 2,11174
707,2,Aperture Inspection 2,11185
707,2,Aperture Inspection 2,11186
664,48,Takt 3 QA,10732
664,48,Takt 3 QA,10733
709,8,System Packing and Despatch,11322
709,8,System Packing and Despatch,11320
709,8,System Packing and Despatch,11323
709,8,System Packing and Despatch,11324
648,13,Takt 8 Resolution,10553
648,13,Takt 8 Resolution,10611
648,13,Takt 8 Resolution,10554
648,13,Takt 8 Resolution,10612
648,13,Takt 8 Resolution,10881
648,13,Takt 8 Resolution,10614
648,13,Takt 8 Resolution,10875
648,13,Takt 8 Resolution,10657
648,13,Takt 8 Resolution,10658
708,2,Aperture Inspection 1,11237
708,2,Aperture Inspection 1,11238
708,2,Aperture Inspection 1,11239
708,2,Aperture Inspection 1,11241
708,2,Aperture Inspection 1,11236
708,2,Aperture Inspection 1,11263
708,2,Aperture Inspection 1,11264
708,2,Aperture Inspection 1,11265
17,3,Takt 3 Assembly,206
17,3,Takt 3 Assembly,207
17,3,Takt 3 Assembly,208
17,3,Takt 3 Assembly,209
17,3,Takt 3 Assembly,210
17,3,Takt 3 Assembly,211
17,3,Takt 3 Assembly,212
17,3,Takt 3 Assembly,213
17,3,Takt 3 Assembly,214
17,3,Takt 3 Assembly,215
17,3,Takt 3 Assembly,216
17,3,Takt 3 Assembly,217
16,3,Takt 2 Assembly,196
16,3,Takt 2 Assembly,197
16,3,Takt 2 Assembly,198
16,3,Takt 2 Assembly,199
16,3,Takt 2 Assembly,200
16,3,Takt 2 Assembly,201
16,3,Takt 2 Assembly,203
16,3,Takt 2 Assembly,204
16,3,Takt 2 Assembly,205
655,38,Pre Assembly,10660
655,38,Pre Assembly,10661
655,38,Pre Assembly,10662
195,4,X-Ray Test,11178
195,4,X-Ray Test,10648
195,4,X-Ray Test,1657
195,4,X-Ray Test,1659
195,4,X-Ray Test,11120
195,4,X-Ray Test,10649
195,4,X-Ray Test,11244
150,8,8000 Material,11229
150,8,8000 Material,11228
698,21,Column Assembly,10957
698,21,Column Assembly,10968
698,21,Column Assembly,10969
698,21,Column Assembly,10970
698,21,Column Assembly,10974
698,21,Column Assembly,10975
698,21,Column Assembly,10976
698,21,Column Assembly,10977
698,21,Column Assembly,10978
698,21,Column Assembly,10980
698,21,Column Assembly,11246
34,4,Image Jump Macro,318
706,4,QA - System Power down,
37,4,Gemini I Table Filler,328
37,4,Gemini I Table Filler,11110
37,4,Gemini I Table Filler,11233
37,4,Gemini I Table Filler,11234
37,4,Gemini I Table Filler,329
37,4,Gemini I Table Filler,11314
37,4,Gemini I Table Filler,330
37,4,Gemini I Table Filler,331
37,4,Gemini I Table Filler,11114
37,4,Gemini I Table Filler,415
81,4,QA - Cathode,1571
81,4,QA - Cathode,1587
81,4,QA - Cathode,1588
81,4,QA - Cathode,11112
81,4,QA - Cathode,1589
81,4,QA - Cathode,1590
713,2,Decant Material and Replensiment,11310
713,2,Decant Material and Replensiment,11311
713,2,Decant Material and Replensiment,11312
403,13,Takt 1 - PC Set Up,11180
403,13,Takt 1 - PC Set Up,10610
403,13,Takt 1 - PC Set Up,11096
403,13,Takt 1 - PC Set Up,6935
403,13,Takt 1 - PC Set Up,11230
403,13,Takt 1 - PC Set Up,10465
403,13,Takt 1 - PC Set Up,10463
403,13,Takt 1 - PC Set Up,10464
403,13,Takt 1 - PC Set Up,10467
403,13,Takt 1 - PC Set Up,11272
650,13,Takt 10 - Pre QA Checks,11182
650,13,Takt 10 - Pre QA Checks,11097
650,13,Takt 10 - Pre QA Checks,10560
650,13,Takt 10 - Pre QA Checks,10561
650,13,Takt 10 - Pre QA Checks,10562
650,13,Takt 10 - Pre QA Checks,10563
650,13,Takt 10 - Pre QA Checks,10564
650,13,Takt 10 - Pre QA Checks,10565
650,13,Takt 10 - Pre QA Checks,10566
650,13,Takt 10 - Pre QA Checks,10567
650,13,Takt 10 - Pre QA Checks,10568
650,13,Takt 10 - Pre QA Checks,10569
650,13,Takt 10 - Pre QA Checks,10570
650,13,Takt 10 - Pre QA Checks,10571
650,13,Takt 10 - Pre QA Checks,10572
650,13,Takt 10 - Pre QA Checks,10573
650,13,Takt 10 - Pre QA Checks,10574
650,13,Takt 10 - Pre QA Checks,10575
522,21,Pre-Assembly,10979
522,21,Pre-Assembly,10942
522,21,Pre-Assembly,10943
522,21,Pre-Assembly,10944
522,21,Pre-Assembly,10945
522,21,Pre-Assembly,10946
522,21,Pre-Assembly,10947
522,21,Pre-Assembly,10948
522,21,Pre-Assembly,10949
522,21,Pre-Assembly,11198
522,21,Pre-Assembly,11199
522,21,Pre-Assembly,10950
522,21,Pre-Assembly,10951
522,21,Pre-Assembly,10952
522,21,Pre-Assembly,10954
522,21,Pre-Assembly,10953
377,6,Bakeout,3261
377,6,Bakeout,3260
701,6,Additional Documentation,
662,48,Takt 2 QA,10722
662,48,Takt 2 QA,10723
662,48,Takt 2 QA,10724
662,48,Takt 2 QA,10725
662,48,Takt 2 QA,10726
658,48,Pre Assembly,10681
658,48,Pre Assembly,10682
720,1,SCD,
21,4,Services and Firmware Upgrades,255
21,4,Services and Firmware Upgrades,11427
21,4,Services and Firmware Upgrades,11025
21,4,Services and Firmware Upgrades,256
21,4,Services and Firmware Upgrades,257
21,4,Services and Firmware Upgrades,11321
21,4,Services and Firmware Upgrades,389
21,4,Services and Firmware Upgrades,258
21,4,Services and Firmware Upgrades,385
21,4,Services and Firmware Upgrades,259
21,4,Services and Firmware Upgrades,387
21,4,Services and Firmware Upgrades,12567
21,4,Services and Firmware Upgrades,11066
21,4,Services and Firmware Upgrades,11026
21,4,Services and Firmware Upgrades,11027
21,4,Services and Firmware Upgrades,11028
23,4,ESB Conditioning (10 Mins Setup + 12Hr Run Time),269
653,13,Final Verification & Sign Off,10624
653,13,Final Verification & Sign Off,10625
653,13,Final Verification & Sign Off,10626
653,13,Final Verification & Sign Off,10627
653,13,Final Verification & Sign Off,10628
653,13,Final Verification & Sign Off,11231
653,13,Final Verification & Sign Off,10634
380,6,Gun Stabilisation,3268
28,4,Interim QA Check,290
28,4,Interim QA Check,291
28,4,Interim QA Check,409
28,4,Interim QA Check,292
28,4,Interim QA Check,293
28,4,Interim QA Check,294
28,4,Interim QA Check,10647
656,38,Takt 1,11152
656,38,Takt 1,11117
656,38,Takt 1,11105
656,38,Takt 1,10663
656,38,Takt 1,10664
656,38,Takt 1,10665
656,38,Takt 1,10784
656,38,Takt 1,10666
656,38,Takt 1,10667
656,38,Takt 1,10668
656,38,Takt 1,10669
656,38,Takt 1,10670
656,38,Takt 1,10671
656,38,Takt 1,10672
656,38,Takt 1,10673
656,38,Takt 1,10674
656,38,Takt 1,10675
656,38,Takt 1,10676
385,6,Post Alignment Checks,3283
385,6,Post Alignment Checks,3284
385,6,Post Alignment Checks,3287
385,6,Post Alignment Checks,11259
385,6,Post Alignment Checks,3288
0,0,Workflow Pool,
285,6,Services and PC Config,11179
285,6,Services and PC Config,1661
285,6,Services and PC Config,10931
285,6,Services and PC Config,11101
285,6,Services and PC Config,3242
285,6,Services and PC Config,3243
285,6,Services and PC Config,3244
285,6,Services and PC Config,11271
285,6,Services and PC Config,3245
285,6,Services and PC Config,3247
285,6,Services and PC Config,3246
285,6,Services and PC Config,3248
285,6,Services and PC Config,3249
285,6,Services and PC Config,11214
661,48,Takt 2,11149
661,48,Takt 2,10707
661,48,Takt 2,10708
661,48,Takt 2,10709
661,48,Takt 2,10710
661,48,Takt 2,10711
661,48,Takt 2,10712
661,48,Takt 2,10713
661,48,Takt 2,10714
661,48,Takt 2,10715
661,48,Takt 2,10716
661,48,Takt 2,10717
661,48,Takt 2,10719
661,48,Takt 2,10720
661,48,Takt 2,10721
388,6,Ripple / STD resolution,3291
388,6,Ripple / STD resolution,11425
388,6,Ripple / STD resolution,11426
388,6,Ripple / STD resolution,3292
388,6,Ripple / STD resolution,3293
388,6,Ripple / STD resolution,3294
386,6,X-Ray Checks,3414
386,6,X-Ray Checks,3415
386,6,X-Ray Checks,3285
1,1,Pre Assembly,
41,4,Cladding,10964
41,4,Cladding,343
666,48,Takt 4 QA,10754
666,48,Takt 4 QA,10755
666,48,Takt 4 QA,10756
45,4,Post QA Checks,10779
45,4,Post QA Checks,362
45,4,Post QA Checks,11024
45,4,Post QA Checks,11058
45,4,Post QA Checks,363
45,4,Post QA Checks,11059
45,4,Post QA Checks,364
45,4,Post QA Checks,411
45,4,Post QA Checks,365
45,4,Post QA Checks,366
45,4,Post QA Checks,367
45,4,Post QA Checks,368
45,4,Post QA Checks,413
